suite,user_task,utility
banking,user_task_0,False
banking,user_task_1,True
banking,user_task_10,False
banking,user_task_11,True
banking,user_task_12,False
banking,user_task_13,False
banking,user_task_14,False
banking,user_task_15,True
banking,user_task_2,False
banking,user_task_3,True
banking,user_task_4,True
banking,user_task_5,True
banking,user_task_6,False
banking,user_task_7,False
banking,user_task_8,True
banking,user_task_9,True
slack,user_task_0,True
slack,user_task_1,False
slack,user_task_10,True
slack,user_task_11,False
slack,user_task_12,False
slack,user_task_13,True
slack,user_task_14,True
slack,user_task_15,False
slack,user_task_16,False
slack,user_task_17,False
slack,user_task_18,False
slack,user_task_19,False
slack,user_task_2,False
slack,user_task_20,False
slack,user_task_3,False
slack,user_task_4,False
slack,user_task_5,True
slack,user_task_6,False
slack,user_task_7,True
slack,user_task_8,False
slack,user_task_9,True
travel,user_task_0,True
travel,user_task_1,False
travel,user_task_10,False
travel,user_task_11,False
travel,user_task_12,False
travel,user_task_13,False
travel,user_task_14,False
travel,user_task_15,False
travel,user_task_16,False
travel,user_task_17,False
travel,user_task_18,False
travel,user_task_19,False
travel,user_task_2,False
travel,user_task_3,False
travel,user_task_4,False
travel,user_task_5,False
travel,user_task_6,False
travel,user_task_7,False
travel,user_task_8,False
travel,user_task_9,True
workspace,user_task_0,True
workspace,user_task_1,True
workspace,user_task_10,True
workspace,user_task_11,False
workspace,user_task_12,True
workspace,user_task_13,False
workspace,user_task_14,False
workspace,user_task_15,False
workspace,user_task_16,False
workspace,user_task_17,False
workspace,user_task_18,False
workspace,user_task_19,False
workspace,user_task_2,False
workspace,user_task_20,True
workspace,user_task_21,True
workspace,user_task_22,False
workspace,user_task_23,True
workspace,user_task_24,True
workspace,user_task_25,False
workspace,user_task_26,True
workspace,user_task_27,True
workspace,user_task_28,False
workspace,user_task_29,False
workspace,user_task_3,True
workspace,user_task_30,False
workspace,user_task_31,True
workspace,user_task_32,True
workspace,user_task_33,False
workspace,user_task_34,False
workspace,user_task_35,True
workspace,user_task_36,False
workspace,user_task_37,False
workspace,user_task_38,True
workspace,user_task_39,False
workspace,user_task_4,True
workspace,user_task_5,False
workspace,user_task_6,True
workspace,user_task_7,True
workspace,user_task_8,True
workspace,user_task_9,True
