suite,user_task,utility
banking,user_task_0,True
banking,user_task_1,True
banking,user_task_10,False
banking,user_task_11,False
banking,user_task_12,False
banking,user_task_13,True
banking,user_task_14,True
banking,user_task_15,True
banking,user_task_2,True
banking,user_task_3,True
banking,user_task_4,True
banking,user_task_5,True
banking,user_task_6,True
banking,user_task_7,True
banking,user_task_8,True
banking,user_task_9,True
slack,user_task_0,True
slack,user_task_1,False
slack,user_task_10,True
slack,user_task_11,False
slack,user_task_12,True
slack,user_task_13,True
slack,user_task_14,False
slack,user_task_15,True
slack,user_task_16,True
slack,user_task_17,True
slack,user_task_18,False
slack,user_task_19,False
slack,user_task_2,True
slack,user_task_20,True
slack,user_task_3,False
slack,user_task_4,True
slack,user_task_5,True
slack,user_task_6,False
slack,user_task_7,True
slack,user_task_8,True
slack,user_task_9,True
travel,user_task_0,True
travel,user_task_1,True
travel,user_task_10,True
travel,user_task_11,False
travel,user_task_12,False
travel,user_task_13,True
travel,user_task_14,True
travel,user_task_15,False
travel,user_task_16,True
travel,user_task_17,False
travel,user_task_18,True
travel,user_task_19,True
travel,user_task_2,True
travel,user_task_3,True
travel,user_task_4,True
travel,user_task_5,True
travel,user_task_6,True
travel,user_task_7,True
travel,user_task_8,True
travel,user_task_9,True
workspace,user_task_0,False
workspace,user_task_1,True
workspace,user_task_10,False
workspace,user_task_11,False
workspace,user_task_12,True
workspace,user_task_13,False
workspace,user_task_14,False
workspace,user_task_15,True
workspace,user_task_16,False
workspace,user_task_17,True
workspace,user_task_18,True
workspace,user_task_19,False
workspace,user_task_2,True
workspace,user_task_20,True
workspace,user_task_21,True
workspace,user_task_22,True
workspace,user_task_23,False
workspace,user_task_24,True
workspace,user_task_25,True
workspace,user_task_26,True
workspace,user_task_27,True
workspace,user_task_28,True
workspace,user_task_29,True
workspace,user_task_3,False
workspace,user_task_30,False
workspace,user_task_31,False
workspace,user_task_32,False
workspace,user_task_33,True
workspace,user_task_34,False
workspace,user_task_35,True
workspace,user_task_36,False
workspace,user_task_37,False
workspace,user_task_38,True
workspace,user_task_39,False
workspace,user_task_4,True
workspace,user_task_5,False
workspace,user_task_6,True
workspace,user_task_7,True
workspace,user_task_8,False
workspace,user_task_9,False
